"FID,POINTID,Depth,POINTID_1,EC,OC,Elev,oc1,ec1,LC0_Desc,EVI250,LST250,susm,twi,TH_LAT,TH_LONG,slope250,Prec_World,Temp_Iberi,pr37040,pr37060,pr58040,pr58060,T37040,t37060,t58560,t58540"
"82,29041604,0-20 cm,29041604,1,271,56,271,1,Bareland,0.236084173,14944.77778,74.38300323,0.90436703,36.18960337,-5.73112493,0.172381997,76.51609802,18.16909981,66.25,61.41666667,68.33333333,60.08333333,13.55000019,14.44999981,14.5,13.64999962"
"83,29081716,0-20 cm,29081716,1.1,503.9,72,503.9,1.1,Cropland,0.245856951,14974.93478,61.1094017,1.214519978,37.19093008,-5.913899227,0.090853304,49.21849823,18.19350052,44.16666667,41.58333333,45.41666667,41,12.39999962,13.5,13.5,12.5"
"84,29161684,0-20 cm,29161684,1.3,458.4,173,458.4,1.3,Grassland,0.158330071,15019.57778,72.82489777,-1.031460047,36.92206541,-5.760540073,0.978425026,54.19839859,17.64100075,48.08333333,45,49.41666667,44.08333333,12.25,13.25,13.30000019,12.35000038"
"85,29201666,0-20 cm,29201666,0.7,215.8,178,215.8,0.7,Cropland,0.229807008,14973.4,93.0766983,4.252570152,36.76972938,-5.68036453,0.709550977,56.02870178,17.42110062,49.5,46.08333333,50.91666667,45.25,12.35000038,13.35000038,13.35000038,12.44999981"
"86,29261730,0-20 cm,29261730,0.9,362.8,99,362.8,0.9,Cropland,0.194154322,15044.19565,60.48199844,-1.496399999,37.34863645,-5.744200879,0.666365027,49.7826004,18.15320015,44.75,42.33333333,46.08333333,41.66666667,12.14999962,13.19999981,13.25,12.25"
"87,29301726,0-20 cm,29301726,1.1,528.8,103,528.8,1.1,Cropland,0.209966988,15089.46667,60.48199844,-0.934436977,37.32057666,-5.691872663,0.661392987,50.1427002,18.11949921,45,42.25,46.33333333,41.58333333,12.19999981,13.19999981,13.30000019,12.25"
"88,29321686,0-20 cm,29321686,0.7,81.9,208,81.9,0.7,Cropland,0.1996678,15001.97778,70.60639954,-2.008529902,36.96935643,-5.588903542,0.327573001,55.05939865,17.56520081,48.75,45.5,50.16666667,44.83333333,12.35000038,13.35000038,13.39999962,12.35000038"
"89,29321746,0-20 cm,29321746,0.5,81.2,144,81.2,0.5,Cropland,0.200220276,15006.69565,58.81340027,1.152760029,37.50162898,-5.710692288,0.236915007,48.71820068,18.15360069,44.08333333,42,45.58333333,41.25,11.85000038,12.89999962,12.94999981,11.89999962"
"90,29381630,0-20 cm,29381630,2.5,573.1,145,573.1,2.5,Grassland,0.320796577,14854.82609,64.92769623,-3.602979898,36.48291006,-5.412130126,4.51237011,60.95780182,17.50160027,53.25,49.66666667,54.91666667,48.5,13.05000019,14.05000019,14.10000038,13.14999962"
"91,29381756,0-20 cm,29381756,1.3,211.4,73,211.4,1.3,Cropland,0.215013177,14904.80435,45.58919907,13.31739998,37.60139159,-5.664777941,0.29579401,46.79980087,18.03499985,42.58333333,40.5,43.83333333,39.66666667,11.94999981,13.05000019,13.10000038,12"
"92,29401708,0-20 cm,29401708,1,466,150,466,1,Cropland,0.190629948,15066.55556,83.37039948,-0.223436996,37.17929393,-5.545124698,0.921086013,53.18310165,17.70389938,47.25,44.33333333,48.41666667,43.5,12.10000038,13.19999981,13.19999981,12.19999981"
"93,29401744,0-20 cm,29401744,1.1,150.7,196,150.7,1.1,Bareland,0.198415592,15016.1087,73.084198,-2.551209927,37.4986743,-5.618082098,1.117759943,49.43899918,18.05590057,44.58333333,42.25,46,41.58333333,11.94999981,13,13.05000019,12.05000019"
